,Mobile_Name,User_Rating,Mobile_Price,Total_Ratings_Reviews,Spec_Ram_Rom,Spec_Display,Spec_Camera
160,"VIVO Y71 (Gold, 16 GB)",4.3 ★,"₹10,990","1,681 Ratings & 256 Reviews",3 GB RAM | 16 GB ROM | Expandable Upto 256 GB,6.0 inch HD+ Display,13MP Rear Camera | 5MP Front Camera
161,"VIVO Y71 (Gold, 32 GB)",4.2 ★,"₹12,990","1,035 Ratings & 185 Reviews",4 GB RAM | 32 GB ROM | Expandable Upto 256 GB,6.0 inch HD+ Display,13MP Rear Camera | 5MP Front Camera
162,"VIVO Y71 (Matte Black, 32 GB)",4.2 ★,"₹12,990","1,035 Ratings & 185 Reviews",4 GB RAM | 32 GB ROM | Expandable Upto 256 GB,6.0 inch HD+ Display,13MP Rear Camera | 5MP Front Camera
163,I Kall K36,3.1 ★,₹939,327 Ratings & 67 Reviews,32 MB RAM | 64 MB ROM |,2.4 inch Display,0.3MP Rear Camera
164,"VIVO Y71 (Matte Black, 16 GB)",4.3 ★,"₹10,990","1,681 Ratings & 256 Reviews",3 GB RAM | 16 GB ROM | Expandable Upto 256 GB,6.0 inch HD+ Display,13MP Rear Camera | 5MP Front Camera
165,"Samsung Galaxy J2-2017 (Metallic gold, 8 GB)",4.2 ★,"₹6,190","1,807 Ratings & 183 Reviews",1 GB RAM | 8 GB ROM | Expandable Upto 128 GB,4.7 inch Display,5.0MP Rear Camera | 2.0MP Front Camera
166,"Panasonic Eluga I9 (Champagne Gold, 32 GB)",3.7 ★,"₹7,499","2,715 Ratings & 492 Reviews",3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,5 inch HD Display,13MP Rear Camera | 5MP Front Camera
167,I Kall K72 Vibration Mobile/K72 Mobile,3.2 ★,₹469,"1,917 Ratings & 322 Reviews",32 MB RAM | 64 MB ROM |,1.4 inch Display,800 mAh Battery
168,"Moto Z2 Play (Lunar Gray, 64 GB)",4.3 ★,"₹18,999","3,065 Ratings & 647 Reviews",4 GB RAM | 64 GB ROM |,5.5 inch Full HD Display,12MP Rear Camera | 5MP Front Camera
169,"Micromax Bharat 2 Plus (Champagne, 8 GB)",3.6 ★,"₹3,199",492 Ratings & 85 Reviews,1 GB RAM | 8 GB ROM | Expandable Upto 32 GB,4 inch WVGA Display,5MP Rear Camera | 2MP Front Camera
170,I Kall K3310,3.6 ★,₹572,"23,368 Ratings & 4,102 Reviews",32 MB RAM | 64 MB ROM | Expandable Upto 8 GB,1.8 inch Display,0.3MP Rear Camera
171,"Samsung Galaxy J8 (Blue, 64 GB)",4.4 ★,"₹18,990","1,829 Ratings & 293 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,6 inch HD+ Display,16MP + 5MP Dual Rear Camera | 16MP Front Camera
172,I Kall K3310,3.6 ★,₹572,"23,368 Ratings & 4,102 Reviews",32 MB RAM | 64 MB ROM | Expandable Upto 8 MB,1.8 inch Display,0.3MP Rear Camera
173,I Kall K3310,3.6 ★,₹572,"23,368 Ratings & 4,102 Reviews",32 MB RAM | 64 MB ROM | Expandable Upto 8 GB,1.8 inch Display,0.3MP Rear Camera
174,I Kall K3310,3.6 ★,₹572,"23,368 Ratings & 4,102 Reviews",32 MB RAM | 64 MB ROM | Expandable Upto 8 GB,1.8 inch Display,0.3MP Rear Camera
175,I Kall K3310,3.6 ★,₹599,"23,368 Ratings & 4,102 Reviews",32 MB RAM | 64 MB ROM |,1.8 inch Display,0.3MP Rear Camera
176,Nokia 150,4.2 ★,"₹1,896","2,394 Ratings & 376 Reviews",4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,2.4 inch Display,0.3MP Rear Camera
177,"Alcatel 3V (Spectrum Gold, 32 GB)",3.5 ★,"₹9,999",163 Ratings & 86 Reviews,3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,6.0 inch Full HD+ Display,16MP + 5MP Dual Rear Camera | 8MP Front Camera
178,"Swipe Konnect Grand (Black, 8 GB)",3.5 ★,"₹2,999","3,250 Ratings & 560 Reviews",1 GB RAM | 8 GB ROM | Expandable Upto 32 GB,5 inch FWVGA Display,5MP Rear Camera | 2MP Front Camera
179,"InFocus Turbo 5 Plus (Royal Gold, 32 GB)",3.5 ★,"₹7,990",254 Ratings & 48 Reviews,3 GB RAM | 32 GB ROM | Expandable Upto 32 GB,5.5 inch HD Display,13MP + 5MP Dual Rear Camera | 5MP Front Camera
180,Lava KKT 40 Power Plus,4.1 ★,"₹1,599","4,486 Ratings & 931 Reviews",Expandable Upto 16 GB,2.4 inch QVGA Display,1.3MP Rear Camera
181,"Samsung Galaxy J8 (Gold, 64 GB)",4.4 ★,"₹18,990","1,829 Ratings & 293 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,6 inch HD+ Display,16MP + 5MP Dual Rear Camera | 16MP Front Camera
182,I Kall K6303 Dual Sim Mobile,3.6 ★,₹704,345 Ratings & 50 Reviews,32 MB RAM | 64 MB ROM | Expandable Upto 8 GB,2.4 inch QVGA Display,0.3MP Rear Camera
183,Micromax X424,3.9 ★,₹805,"3,605 Ratings & 623 Reviews",56 MB RAM | 56 MB ROM |,1.77 inch Display,0.03MP Rear Camera
184,Micromax X424,3.9 ★,₹790,"3,605 Ratings & 623 Reviews",56 MB RAM | 56 MB ROM |,1.77 inch Display,0.03MP Rear Camera
185,I Kall K71,3.2 ★,₹469,"5,000 Ratings & 891 Reviews",32 MB RAM | 64 MB ROM |,1.4 inch Display,1000 mAh Battery
186,I Kall K71,3.2 ★,₹419,"5,000 Ratings & 891 Reviews",32 MB RAM | 64 MB ROM |,1.4 inch Display,1000 mAh Battery
187,I Kall K36,3.1 ★,₹939,327 Ratings & 67 Reviews,32 MB RAM | 64 MB ROM |,2.4 inch Display,0.3MP Rear Camera
188,I Kall K71,3.2 ★,₹469,"5,000 Ratings & 891 Reviews",32 MB RAM | 64 MB ROM |,1.4 inch Display,1000 mAh Battery
189,I Kall K71,3.2 ★,₹419,"5,000 Ratings & 891 Reviews",32 MB RAM | 64 MB ROM |,1.4 inch Display,1000 mAh Battery
190,I Kall K6303 Combo of Two Mobile,3.6 ★,"₹1,299",277 Ratings & 62 Reviews,32 MB RAM | 64 MB ROM | Expandable Upto 8 GB,2.4 inch Display,0.3MP Rear Camera
191,I Kall K72 Vibration Mobile/K72 Mobile,3.2 ★,₹469,"1,917 Ratings & 322 Reviews",32 MB RAM | 64 MB ROM |,1.4 inch Display,800 mAh Battery
192,I Kall K71 Combo of Two mobile,3.3 ★,₹799,944 Ratings & 150 Reviews,32 MB RAM | 64 MB ROM |,1.4 inch Display,1000 mAh Battery
